date,region,sales,visitors,discount
2026-01-01,North,100,500,0
2026-01-02,North,120,520,5
2026-01-03,South,80,400,0
2026-01-04,East,90,420,10
2026-01-05,West,200,800,20
2026-01-06,North,150,600,0
2026-01-07,South,130,580,5
2026-01-08,East,160,700,0
2026-01-09,West,170,720,15
2026-01-10,North,180,750,0
2026-01-11,South,NaN,680,0
2026-01-12,East,210,820,25
2026-01-13,West,220,900,30
2026-01-14,North,230,920,0
2026-01-15,South,240,940,5
2026-01-16,East,250,960,0
2026-01-17,West,260,980,10
2026-01-18,North,270,1000,0
2026-01-19,South,280,1020,0
2026-01-20,East,290,1040,0
